City,State,Institution,Transfer Course ID,Transfer Course Name,RPI Course ID,RPI Course Name,Note,Begin,End,Transfer Catalog
Rindge,NH,Franklin Pierce University,MT221,Calculus I,MATH 1500,"Calculus For Architecture, Management, And Hass",,,,Franklin Pierce University
Tampa,FL,Hillsborough Community College,MAC 2233C,Calculus For Business And Social Sciences,MATH 1500,"Calculus For Architecture, Management, And Hass",,,,Hillsborough Community College
Troy,NY,Hudson Valley Community College,MATH 165,Basic Calculus With Analytic Geometry,MATH 1500,"Calculus For Architecture, Management, And Hass",,,,Hudson Valley Community College
Bloomington,IN,Indiana University-Bloomington,MATH-M 119,Brief Survey Of Calculus I,MATH 1500,"Calculus For Architecture, Management, And Hass",,,,Indiana University College Of Arts And Sciences
Ithaca,NY,Ithaca College,MATH 10800,Applied Calculus,MATH 1500,"Calculus For Architecture, Management, And Hass",,,,Ithaca College
Easton,PA,Lafayette College,MATH 141,Differential Calculus And Economic Modeling,MATH 1500,"Calculus For Architecture, Management, And Hass",,,,Lafayette College
Beaumont,TX,Lamar University-Beaumont,MATH 2413,Calculus & Analytical Geom I,MATH 1500,"Calculus For Architecture, Management, And Hass",,,,Lamar University
New York,NY,Marymount Manhattan College,MATH 210,Calculus I,MATH 1500,"Calculus For Architecture, Management, And Hass",,,,Marymount Manhattan College
North Andover,MA,Merrimack College,MTH 1115,Calculus And Quantitative Methods For Business,MATH 1500,"Calculus For Architecture, Management, And Hass",,,,Merrimack College Undergraduate
Rockville,MD,Montgomery College,MA 160,Elementary Applied Calculus I,MATH 1500,"Calculus For Architecture, Management, And Hass",,,,Montgomery College
South Hadley,MA,Mount Holyoke College,MATH-101,Calculus I,MATH 1500,"Calculus For Architecture, Management, And Hass",,,,Mount Holyoke College
Napa,CA,Napa Valley College,MATH-120,Calculus I,MATH 1500,"Calculus For Architecture, Management, And Hass",,,,Napa Valley College
Boston,MA,Northeastern University,MATH 1231,Calculus For Business And Economics,MATH 1500,"Calculus For Architecture, Management, And Hass",,,,Northeastern University Course Descriptions
Boston,MA,Northeastern University Lifelong Learning Network,MATH 1231,Calculus For Business And Economics,MATH 1500,"Calculus For Architecture, Management, And Hass",,,,Northeastern University Course Descriptions
Annandale,VA,Northern Virginia Community College,MTH 271,Applied Calculus I,MATH 1500,"Calculus For Architecture, Management, And Hass",,,,Northern Virginia Community College
Columbus,OH,Ohio State University,MATH 1131,Calculus For Business,MATH 1500,"Calculus For Architecture, Management, And Hass",,,,Ohio State University Course Offerings
