City,State,Institution,Transfer Course ID,Transfer Course Name,RPI Course ID,RPI Course Name,Note,Begin,End,Transfer Catalog
Santa Clara,CA,Santa Clara University,PHIL 1A + TESP 4,Critical Thinking & Writing I + The Christian Tradition,PHIL 2000,Philosophy Elective,,,,Santa Clara University Undergraduate
Gainesville,FL,Santa Fe College,PHI 2600,Introduction To Ethics,PHIL 2000,Philosophy Elective,,,,Santa Fe College
Gainesville,FL,Santa Fe College,REL 2300,Survey Of Contemporary World Religions,PHIL 2000,Philosophy Elective,,,,Santa Fe College
Schenectady,NY,Schenectady County Community College,ETH 221,Professional And Applied Ethics,PHIL 2000,Philosophy Elective,,,,Schenectady County Community College
Seattle,WA,Seattle University,UCOR 2100,Theological Explorations,PHIL 2000,Philosophy Elective,,,,Seattle University Undergraduate
Seattle,WA,Seattle University,UCOR 2500,Philosophy Of The Human Person,PHIL 2000,Philosophy Elective,,,,Seattle University Undergraduate
South Orange,NJ,Seton Hall University,PHIL 1105,Ethics,PHIL 2000,Philosophy Elective,,,,Seton Hall University Undergraduate
South Orange,NJ,Seton Hall University,PLTL 2218,Philosophy Of Being,PHIL 2000,Philosophy Elective,,,,Seton Hall University Undergraduate
South Orange,NJ,Seton Hall University,PLTL 2223,Philosophy Of Nature,PHIL 2000,Philosophy Elective,,,,Seton Hall University Undergraduate
South Orange,NJ,Seton Hall University,PLTL 2241,Philosophical Ethics,PHIL 2000,Philosophy Elective,,,,Seton Hall University Undergraduate
South Orange,NJ,Seton Hall University,PLTL 2243,Theory Of Knowledge,PHIL 2000,Philosophy Elective,,,,Seton Hall University Undergraduate
Loudonville,NY,Siena College,PHIL - 240,Philosophy Of Art,PHIL 2000,Philosophy Elective,,,,Siena College Undergraduate
Loudonville,NY,Siena College,PHIL - 290,Greek And Roman Philosophy,PHIL 2000,Philosophy Elective,,,,Siena College Undergraduate
Loudonville,NY,Siena College,RELG - 101,Religion In Western Culture,PHIL 2000,Philosophy Elective,,,,Siena College Undergraduate
Loudonville,NY,Siena College,RELG - 207,Christianity,PHIL 2000,Philosophy Elective,,,,Siena College Undergraduate
New Haven,CT,Southern Connecticut State University,PHI 211,Asian Philosophy: India,PHIL 2000,Philosophy Elective,,,,Southern Connecticut State University Undergraduate
Canton,NY,St Lawrence University,PHIL 206,Introduction To Political Theory,PHIL 2000,Philosophy Elective,,,,Saint Lawrence University
Rochester,NY,St. John Fisher University,REST-272P,Martin & Malcolm,PHIL 2000,Philosophy Elective,,,,Saint John Fisher College Undergraduate
Queens,NY,St. John's University,PHI 2200C,Ethics,PHIL 2000,Philosophy Elective,,,,St. Johns University
Queens,NY,St. John's University,PHI 2240C,Ethics And Health Care,PHIL 2000,Philosophy Elective,,,,St. Johns University
Galloway,NJ,Stockton University,BASK 1203,Quantitative Reasoning,PHIL 2000,Philosophy Elective,,,,Stockton University Summer Course Descriptions
Stony Brook,NY,Stony Brook University,AAS 260,Buddhism,PHIL 2000,Philosophy Elective,,,,SUNY Stony Brook Undergraduate Bulletin And Course Descriptions Spring
Stony Brook,NY,Stony Brook University,RLS 270,Christianity,PHIL 2000,Philosophy Elective,,,,SUNY Stony Brook Undergraduate Bulletin And Course Descriptions Spring
Vestal,NY,Suny At Binghamton,PHIL 147,"Markets, Ethics And Law",PHIL 2000,Philosophy Elective,,,,SUNY Binghamton University
Fredonia,NY,Suny At Fredonia,PHIL 222,The Greek Way,PHIL 2000,Philosophy Elective,,,,SUNY Fredonia General
Fredonia,NY,Suny At Fredonia,PL 116,Introduction To Deductive Logic,PHIL 2000,Philosophy Elective,,,,SUNY Fredonia Undergraduate
Geneseo,NY,Suny College At Geneseo,PHIL 205,Ancient Philosophy,PHIL 2000,Philosophy Elective,,,,SUNY Geneseo Undergraduate
Geneseo,NY,Suny College At Geneseo,PHIL 207,Modern Philosophy,PHIL 2000,Philosophy Elective,,,,SUNY Geneseo Undergraduate
Geneseo,NY,Suny College At Geneseo,PHIL 215,M/Eastern Philosophy,PHIL 2000,Philosophy Elective,,,,SUNY Geneseo Undergraduate
Oneonta,NY,Suny College At Oneonta,PHIL 230,Environmental Ethics,PHIL 2000,Philosophy Elective,,,,SUNY Oneonta Undergraduate
Suffern,NY,Suny Rockland Community College,PHL 204,Processes Of Thinking,PHIL 2000,Philosophy Elective,,,,SUNY Rockland Community College
Suffern,NY,Suny Rockland Community College,PHL 260,Ethics In Business,PHIL 2000,Philosophy Elective,,,,SUNY Rockland Community College
Stone Ridge,NY,Suny Ulster County Community College,PHI 205,Ethics,PHIL 2000,Philosophy Elective,,,,SUNY Ulster County Community College
Stone Ridge,NY,Suny Ulster County Community College,PHI 210,Professional Ethics,PHIL 2000,Philosophy Elective,,,,SUNY Ulster County Community College
Stone Ridge,NY,Suny Ulster County Community College,PHI 216,Religions Of The East,PHIL 2000,Philosophy Elective,,,,SUNY Ulster County Community College
Stone Ridge,NY,Suny Ulster County Community College,PHI 240,Topics In Science And Philosophy,PHIL 2000,Philosophy Elective,,,,SUNY Ulster County Community College
Selinsgrove,PA,Susquehanna University,HONS-200,Thought And Civilization,PHIL 2000,Philosophy Elective,,,,Susquehanna University
Syracuse,NY,Syracuse University,HST 212,Religion In Medieval And Reformation Europe,PHIL 2000,Philosophy Elective,,,,Syracuse University Undergraduate
Ewing,NJ,The College Of New Jersey,PHL 220,Metalogic,PHIL 2000,Philosophy Elective,,,,The College Of New Jersey Course Catalog
